id|name|family|equipment|setup|action|cue|mistake
machine_chest_press|Machine Chest Press|press|bench_press_machine|Adjust the seat so the handles begin around mid-chest and place feet on the floor.|Press the handles forward, then return until the chest remains comfortably open.|Keep your back on the pad.|Allowing the handles to pull the shoulders too far backward.
dumbbell_squeeze_press|Dumbbell Squeeze Press|press|dumbbells,flat_bench|Lie on a bench holding two suitable flat-sided dumbbells together above the chest.|Keep gentle inward pressure as you lower to the chest and press upward.|Use controllable weights that stay together.|Letting a dumbbell roll or slip toward the face.
standing_cable_press|Standing Cable Chest Press|press|crossover_cable|Set handles near chest height and face away from the columns in a split stance.|Press both handles forward and return without letting the cables pull the trunk backward.|Keep ribs over the pelvis.|Arching the back to finish the press.
single_arm_cable_press|Single-Arm Cable Chest Press|press|hi_lo_pull_cable|Place one pulley at chest height and face away with a staggered stance.|Press one handle ahead of the shoulder and bring it back without rotating the hips.|Keep the opposite hip facing forward.|Twisting toward the cable on the return.
band_chest_press|Band Chest Press|press|loop_bands|Secure an undamaged band to a rated chest-height anchor and face away in a split stance.|Press the ends forward and return slowly while the anchor stays fixed.|Check the anchor before every set.|Using furniture or a loose door as an improvised anchor.
incline_push_up|Incline Push-Up|press|flat_bench|Place hands on a stable bench and step back into a straight-body position.|Bend the elbows to bring the chest toward the edge, then push the bench away.|Move hips and shoulders together.|Using a bench that can slide or tip.
kneeling_push_up|Kneeling Push-Up|press||Start with hands on the floor and knees behind the hips so the torso forms a long line.|Lower chest toward the floor and press up while keeping that line.|Keep the hips forward of the knees.|Bending at the hips instead of the elbows.
decline_push_up|Decline Push-Up|press|plyo_box|Place feet on a low stable box and hands on the floor below the shoulders.|Lower the chest between the hands and press up without dropping the hips.|Start with a low elevation.|Choosing a high box before controlling the standard push-up.
dumbbell_fly|Dumbbell Chest Fly|fly|flat_bench,dumbbells|Lie on a bench with dumbbells above the chest and elbows slightly bent.|Open the arms in a wide arc within a comfortable shoulder range, then bring them together.|Keep elbow bend nearly unchanged.|Lowering the weights far beneath the torso.
low_cable_fly|Low-to-High Cable Fly|fly|crossover_cable|Set both pulleys low and take a staggered stance with arms slightly behind the hips.|Sweep the handles upward and inward toward upper-chest height, then retrace the arc.|Keep a soft elbow bend.|Leaning backward to raise the handles.
standing_dumbbell_press|Standing Dumbbell Shoulder Press|shoulder_press|dumbbells|Stand with two dumbbells beside the shoulders and knees softly extended.|Press overhead and lower to shoulder height without using leg drive.|Keep the ribs from flaring.|Turning each repetition into a push press.
single_arm_dumbbell_overhead_press|Single-Arm Dumbbell Overhead Press|shoulder_press|dumbbells|Hold one dumbbell at the shoulder and stand with a comfortable stance.|Press the dumbbell overhead and lower without leaning away; repeat on the other side.|Keep the belt line level.|Side-bending to get the weight overhead.
arnold_press|Arnold Press|shoulder_press|dumbbells,vertical_bench|Sit supported with dumbbells in front of the shoulders and palms toward the face.|Rotate the palms forward as you press, then reverse the rotation while lowering.|Let rotation happen smoothly.|Forcing the elbows behind the torso at the bottom.
neutral_grip_shoulder_press|Neutral-Grip Shoulder Press|shoulder_press|dumbbells,vertical_bench|Sit against an upright pad with palms facing each other and elbows slightly forward.|Press overhead with the neutral grip and lower beside the shoulders.|Keep wrists straight.|Flaring the elbows outward despite the neutral setup.
machine_shoulder_press|Machine Shoulder Press|shoulder_press|overhead_press_machine|Adjust the seat so the handles start around shoulder level and support the feet.|Press through the machine arc and lower smoothly to the starting position.|Keep the back against the pad.|Sliding down the seat under the load.
smith_shoulder_press|Smith Machine Shoulder Press|shoulder_press|smith_machine,vertical_bench|Position an upright bench so the bar travels just in front of the face and set stops.|Press from upper-chest height overhead, then lower in front of the head.|Check the rail path before loading.|Lowering the bar behind the neck.
half_kneeling_landmine_press|Half-Kneeling Landmine Press|shoulder_press|landmine,olympic_barbell,plates|Secure the bar in its socket and kneel with the knee on the pressing side down.|Press the bar end forward and upward, then return toward the shoulder.|Keep hips facing the bar.|Arching the lower back to extend the reach.
standing_landmine_press|Standing Landmine Press|shoulder_press|landmine,olympic_barbell,plates|Hold the secured bar end at one shoulder in a staggered stance.|Press upward along the bar arc and lower without rotating the trunk.|Allow the shoulder blade to follow the reach.|Using an unsecured bar end in a room corner.
seated_barbell_press|Seated Barbell Shoulder Press|shoulder_press|vertical_bench,squat_rack,olympic_barbell,plates|Sit supported inside a rack, set safeties and hold the bar in front of the shoulders.|Press overhead and lower in front of the face with the torso steady.|Keep feet firmly supported.|Leaning far backward as the bar rises.
kettlebell_overhead_press|Single-Arm Kettlebell Press|shoulder_press|kettlebells|Hold a kettlebell in the rack position with a straight wrist and stable stance.|Press overhead, allowing the arm to rotate naturally, then return to the rack.|Keep the bell resting comfortably against the forearm.|Bending the wrist backward under the bell.
seated_lateral_raise|Seated Dumbbell Lateral Raise|raise|dumbbells,flat_bench|Sit on a bench holding dumbbells beside the thighs.|Raise the arms out to the sides toward shoulder height and lower slowly.|Keep the torso still.|Rocking forward and back to start the raise.
single_arm_lateral_raise|Single-Arm Dumbbell Lateral Raise|raise|dumbbells|Stand with one dumbbell beside the thigh and the free hand on a stable support if needed.|Lift the arm sideways to a comfortable height and lower before switching sides.|Lead with the upper arm.|Leaning sideways to increase the apparent range.
cable_lateral_raise|Cable Lateral Raise|raise|hi_lo_pull_cable|Stand side-on to a low pulley and hold the handle in the farther hand.|Raise the arm sideways while the cable crosses in front, then lower with control.|Keep the elbow softly bent.|Turning the palm sharply downward at the top.
machine_lateral_raise|Machine Lateral Raise|raise|lateral_raise_machine|Adjust the seat and place the upper arms against the machine pads.|Raise the pads outward and lower smoothly without shrugging.|Keep both arms against their pads.|Lifting the torso out of the seat.
band_lateral_raise|Band Lateral Raise|raise|loop_bands|Stand on the middle of an undamaged band and hold its ends beside the thighs.|Raise the arms to the sides and lower before the band pulls them down.|Start with mild tension.|Using a band too short to reach the intended height.
plate_front_raise|Plate Front Raise|raise|plates|Hold one plate securely at its sides in front of the thighs.|Raise it forward to about shoulder height and lower along the same arc.|Keep elbows softly bent.|Leaning backward as the plate rises.
cable_front_raise|Cable Front Raise|raise|hi_lo_pull_cable|Face away from a low pulley and hold a handle in one hand beside the thigh.|Raise the hand forward toward shoulder height and lower without rotating.|Keep the cable clear of the legs.|Swinging the torso to start the lift.
rear_delt_machine|Reverse Pec Deck|rear|fly_machine|Face the pad of a machine designed for reverse flyes and adjust handles to shoulder height.|Open the arms backward through a comfortable arc and return slowly.|Keep the chest on the pad.|Using a machine that does not support a reverse-fly setup.
face_pull|Cable Face Pull|rear|hi_lo_pull_cable|Attach a suitable rope at face height and take a stable stance facing the cable.|Pull toward the face with hands separating beside the head, then reach forward.|Keep the neck relaxed.|Leaning backward to move a heavy stack.
band_pull_apart|Band Pull-Apart|rear|loop_bands|Hold an undamaged band at chest height with arms ahead of you.|Separate the hands until the band approaches the chest, then return smoothly.|Keep ribs over the pelvis.|Snapping the band or locking the elbows forcefully.
bent_over_barbell_row|Bent-Over Barbell Row|row|olympic_barbell,plates|Hinge forward while holding the bar with an overhand grip and knees softly bent.|Pull toward the lower ribs and lower until the arms extend.|Keep the torso angle steady.|Standing up to throw the bar toward the abdomen.
underhand_barbell_row|Underhand Barbell Row|row|olympic_barbell,plates|Hold a bar with palms forward and hinge to a stable inclined torso position.|Row toward the waist with elbows near the ribs, then lower.|Keep wrists aligned with the forearms.|Curling the wrists to finish the pull.
pendlay_row|Pendlay Row|row|olympic_barbell,plates|Set the bar on the floor and hinge until you can grip it with a stable trunk.|Pull to the torso, return the bar to the floor and reset between repetitions.|Make every repetition start from stillness.|Jerking the torso upward before the bar moves.
single_arm_dumbbell_row|Single-Arm Dumbbell Row|row|flat_bench,dumbbells|Support one hand and knee on a bench while the opposite foot stays planted.|Pull the dumbbell toward the hip and lower without turning the chest.|Keep shoulders facing the floor.|Rotating the whole torso to lift the weight higher.
chest_supported_dumbbell_row|Chest-Supported Dumbbell Row|row|incline_bench,dumbbells|Lie chest-down on an incline bench with dumbbells hanging below the shoulders.|Row the weights beside the ribs and extend the arms slowly.|Keep chest pressure on the pad.|Lifting the sternum away from the bench.
incline_elbows_out_row|Chest-Supported Elbows-Out Row|row|incline_bench,dumbbells|Lie chest-down on an incline bench and turn palms toward the feet.|Pull with elbows angled outward, then lower until the arms hang.|Aim elbows toward the sides rather than the hips.|Shrugging and lifting the head off the bench.
seated_machine_row|Seated Machine Row|row|row_machine|Adjust the seat and chest pad so handles can be reached without rounding forward.|Pull the handles toward the ribs and return with the chest supported.|Keep the pad contact consistent.|Driving backward with the torso.
chest_supported_t_bar_row|Chest-Supported T-Bar Row|row|plate_loaded_chest_supported_t_bar,plates|Set the chest pad and stand securely on the machine platform.|Lift the handle toward the ribs, then lower under control.|Keep the chest down as the arms pull.|Using leg drive to bounce off the pad.
single_arm_cable_row|Single-Arm Cable Row|row|hi_lo_pull_cable|Set a pulley around waist height and stand in a staggered stance.|Draw the handle beside the waist and reach forward without twisting.|Keep shoulders and hips facing the pulley.|Rotating the pelvis through each repetition.
wide_grip_cable_row|Wide-Grip Seated Cable Row|row|row_cable|Sit at a cable row with an appropriate wide handle, feet supported and knees soft.|Pull toward the upper abdomen with elbows wider than the torso, then reach forward.|Keep the chest tall without leaning back.|Turning the row into a backward body swing.
band_seated_row|Seated Band Row|row|loop_bands|Sit with an undamaged band safely looped around the middle of both feet.|Pull the ends toward the waist and return, keeping the band away from the face.|Keep knees slightly bent.|Anchoring the band on the toes where it can slip.
band_standing_row|Standing Band Row|row|loop_bands|Attach a band to a rated anchor at lower-chest height and step back.|Pull elbows behind the ribs, then reach forward without rocking.|Check anchor security before tensioning.|Using a loose handle or sharp anchor edge.
inverted_row|Inverted Row|row|smith_machine|Secure the bar at a suitable height, grip it from underneath and set heels ahead.|Pull the chest toward the bar and lower as one body line.|Adjust difficulty by changing foot position.|Using a bar that can rotate out of its catches.
trx_row|Suspension Row|row|trx|Check the rated anchor and lean backward holding both handles.|Pull the torso toward the handles and lower with the body aligned.|Walk feet back for an easier angle.|Letting the hips fold during the pull.
neutral_grip_pull_up|Neutral-Grip Pull-Up|pulldown|pull_up_bar|Use a bar with secure parallel handles and hang with palms facing each other.|Pull upward until the upper chest approaches the handles, then lower with control.|Start each pull without a swing.|Kipping to reach the top.
chin_up|Chin-Up|pulldown|pull_up_bar|Grip a secure bar with palms toward you and arms extended comfortably.|Pull the chest upward and lower without swinging the legs.|Keep the grip comfortable for the wrists.|Reaching with the chin while the shoulders remain low.
assisted_pull_up|Assisted Pull-Up Machine|pulldown|assisted_weight_machine|Select assistance and mount the knee or foot platform according to its instructions.|Pull upward, then lower while keeping the platform controlled.|More assistance makes the exercise easier.|Stepping off before the moving platform settles.
assisted_chin_up|Assisted Chin-Up Machine|pulldown|assisted_weight_machine|Set the assistance stack and use underhand handles on the machine.|Pull toward the handles and return slowly on the support platform.|Keep the wrists comfortable.|Mistaking added assistance for added lifting load.
band_assisted_pull_up|Band-Assisted Pull-Up|pulldown|loop_bands,pull_up_bar|Secure a suitable band to the bar and carefully position the knee or foot in the loop.|Pull upward and lower while the band remains securely positioned.|Mount and dismount with stable support.|Letting a stretched band slip toward the face.
close_grip_lat_pulldown|Close-Grip Lat Pulldown|pulldown|lat_pulldown_cable|Secure the thigh pad and grip a narrow neutral handle overhead.|Pull toward the upper chest and allow a controlled overhead return.|Move elbows down beside the ribs.|Leaning far back to meet the handle.
underhand_lat_pulldown|Underhand Lat Pulldown|pulldown|lat_pulldown_cable|Sit with thighs secured and grip the bar palms toward you near shoulder width.|Pull to the upper chest, then return overhead without shrugging abruptly.|Keep wrists aligned with the forearms.|Pulling the bar down behind the head.
single_arm_lat_pulldown|Single-Arm Lat Pulldown|pulldown|hi_lo_pull_cable|Kneel facing a high pulley and hold one handle with the arm overhead.|Pull the elbow down toward the side and return without side-bending.|Keep the pelvis level.|Tilting the trunk to add range.
straight_arm_pulldown|Straight-Arm Cable Pulldown|pullover|hi_lo_pull_cable|Face a high pulley and hold a bar with elbows slightly bent.|Sweep the bar toward the thighs and return through a comfortable overhead arc.|Keep the elbow angle nearly fixed.|Turning the movement into a triceps pushdown.
dumbbell_pullover|Dumbbell Pullover|pullover|flat_bench,dumbbells|Lie fully supported on a bench holding one secure dumbbell above the chest.|Lower behind the head within shoulder comfort, then bring it back above the chest.|Keep the ribs from flaring.|Allowing the weight to pull the torso into a large arch.
machine_pullover|Machine Pullover|pullover|plate_loaded_pullover,plates|Adjust the seat and pads, then use the start assist if the machine provides one.|Bring the upper arms down through the machine arc and return slowly.|Follow the machine setup diagram.|Releasing the pads suddenly under load.
hammer_curl|Dumbbell Hammer Curl|curl|dumbbells|Stand holding two dumbbells with palms facing the thighs.|Curl with palms facing inward and lower without moving the upper arms forward.|Keep thumbs pointing upward.|Turning the wrists at the top into a different curl.
alternating_dumbbell_curl|Alternating Dumbbell Curl|curl|dumbbells|Stand with one dumbbell in each hand and arms at the sides.|Curl one arm, lower fully, then repeat on the other side.|Keep the resting arm quiet.|Leaning toward the working arm.
incline_dumbbell_curl|Incline Dumbbell Curl|curl|incline_bench,dumbbells|Sit against an incline bench with arms hanging comfortably beside it.|Curl the weights without bringing the elbows forward, then lower slowly.|Use a modest bench recline initially.|Forcing the shoulders into an extreme backward stretch.
concentration_curl|Concentration Curl|curl|flat_bench,dumbbells|Sit with feet apart and brace the working upper arm against the inner thigh.|Curl the dumbbell toward the shoulder and lower before changing sides.|Keep the arm support in place.|Lifting the elbow off the thigh to finish.
ez_bar_curl|EZ-Bar Curl|curl|ez_bar,plates|Grip the angled sections with a comfortable semi-supinated hand position.|Curl toward the shoulders and lower without swinging the hips.|Let the bar shape guide a comfortable wrist angle.|Moving the hips to launch the bar.
cable_curl|Cable Curl|curl|hi_lo_pull_cable|Face a low pulley holding a suitable bar with palms upward.|Curl the handle toward the chest and lower while keeping the stack controlled.|Keep the elbows near the sides.|Walking backward during a repetition.
rope_hammer_curl|Cable Rope Hammer Curl|curl|hi_lo_pull_cable|Attach a rope low and grip the ends with palms facing inward.|Curl the ends upward and lower without spreading the elbows widely.|Keep wrists straight.|Pulling the shoulders upward with the rope.
bayesian_cable_curl|Behind-Body Cable Curl|curl|hi_lo_pull_cable|Face away from a low pulley with the working arm slightly behind the torso.|Curl the handle forward while the upper arm stays comfortable, then extend slowly.|Keep the shoulder from rolling forward.|Standing so far ahead that the shoulder is forced backward.
high_cable_curl|High Cable Curl|curl|crossover_cable|Stand between high pulleys with arms out to the sides and a handle in each hand.|Bend the elbows to bring hands toward the head, then extend slowly.|Keep upper arms at a manageable height.|Allowing the cables to pull the shoulders beyond comfort.
spider_curl|Spider Curl|curl|incline_bench,dumbbells|Lie chest-down over an incline bench with the arms hanging off its upper edge.|Curl both weights and lower while keeping chest contact with the pad.|Let the arms hang vertically.|Lifting the chest to shorten the curl.
machine_biceps_curl|Machine Biceps Curl|curl|bicep_curl_machine|Adjust the seat so elbows line up with the machine pivot and arms rest on the pad.|Curl the handles and lower without lifting the upper arms.|Keep the pivot aligned.|Choosing a seat height that puts the elbows off the pad.
dumbbell_preacher_curl|Single-Arm Dumbbell Preacher Curl|curl|preacher_curl_bench,dumbbells|Place one upper arm fully on the preacher pad with a dumbbell in the hand.|Curl upward and lower to a comfortable elbow extension.|Keep the shoulder behind the pad.|Dropping quickly into a locked elbow.
reverse_barbell_curl|Reverse Barbell Curl|curl|olympic_barbell,plates|Hold a light bar with palms down and arms beside the torso.|Curl upward without bending the wrists, then lower steadily.|Keep knuckles facing forward.|Letting the wrists collapse under the bar.
band_biceps_curl|Band Biceps Curl|curl|loop_bands|Stand on the middle of a band and hold both ends palms upward.|Curl against the increasing tension, then lower smoothly.|Keep both feet pinning the band.|Pulling on a band with cracks or worn edges.
cross_body_hammer_curl|Cross-Body Hammer Curl|curl|dumbbells|Stand with neutral-grip dumbbells beside the thighs.|Curl one weight toward the opposite upper chest and return before switching.|Move through the elbow rather than rotating the torso.|Swinging the dumbbell across the abdomen.
rope_triceps_pushdown|Rope Triceps Pushdown|triceps|hi_lo_pull_cable|Face a high pulley with a rope and elbows beside the ribs.|Straighten the elbows toward the thighs and return to a comfortable bend.|Keep the upper arms still.|Driving the shoulders backward to move the stack.
single_arm_pushdown|Single-Arm Cable Pushdown|triceps|hi_lo_pull_cable|Hold a high cable handle with the working elbow beside the torso.|Extend the elbow downward and return slowly before switching sides.|Keep the wrist aligned.|Rotating the trunk toward the working hand.
overhead_cable_extension|Overhead Cable Triceps Extension|triceps|hi_lo_pull_cable|Face away from the cable with a suitable attachment behind the head and a stable staggered stance.|Straighten the elbows overhead and bend them again without moving the torso.|Keep the upper arms comfortably elevated.|Arching the back to create room for the cable.
single_arm_overhead_cable_extension|Single-Arm Overhead Cable Extension|triceps|hi_lo_pull_cable|Face away from a pulley holding one handle behind the head.|Extend the elbow overhead and return while the upper arm stays steady.|Keep the ribs down.|Letting the elbow swing far outward each repetition.
dumbbell_overhead_extension|Two-Hand Dumbbell Overhead Extension|triceps|dumbbells|Hold one secure dumbbell with both hands above the head.|Bend the elbows to lower it behind the head, then extend without moving the ribs.|Maintain a firm two-hand grip.|Letting the dumbbell contact the head.
single_arm_dumbbell_extension|Single-Arm Dumbbell Overhead Extension|triceps|dumbbells|Hold one light dumbbell overhead with the elbow pointing generally upward.|Lower behind the head through elbow bending and straighten it again.|Use the free hand only as a light position guide.|Forcing the elbow into a narrow position that hurts.
dumbbell_kickback|Dumbbell Triceps Kickback|triceps|dumbbells,flat_bench|Support one hand on a bench and hold the opposite upper arm beside the inclined torso.|Straighten the elbow backward and return to a right-angle bend.|Keep the upper arm lifted and still.|Swinging the whole arm behind the body.
cable_kickback|Cable Triceps Kickback|triceps|hi_lo_pull_cable|Hinge facing a low pulley with the upper arm beside the torso.|Extend the elbow backward against the cable and return slowly.|Keep the shoulder fixed.|Standing up as the arm straightens.
lying_dumbbell_extension|Lying Dumbbell Triceps Extension|triceps|flat_bench,dumbbells|Lie on a bench with two dumbbells above the shoulders and palms facing inward.|Bend the elbows beside the head, then extend while keeping upper arms steady.|Keep weights clear of the face.|Dropping the elbows outward to turn it into a press.
machine_triceps_extension|Machine Triceps Extension|triceps|triceps_extension_machine|Adjust the seat and arm pad to align elbows with the machine pivot.|Straighten the elbows against the handle and return smoothly.|Keep upper arms on the support.|Lifting off the pad to force the final range.
assisted_dip|Assisted Dip Machine|triceps|assisted_weight_machine|Set assistance and mount the machine using its steps and support platform.|Bend the elbows through a comfortable depth and press back up.|Keep the shoulder range comfortable.|Dropping too deeply because the machine provides assistance.
close_grip_push_up|Close-Grip Push-Up|press||Place hands slightly narrower than a standard push-up and form a straight body line.|Lower the chest with elbows near the ribs and press away from the floor.|Use a comfortable hand spacing.|Forcing the hands into a diamond shape that strains the wrists.
bodyweight_squat|Bodyweight Squat|squat||Stand with a comfortable foot width and toes angled slightly outward.|Bend hips and knees together, then stand while keeping feet planted.|Keep pressure across the whole foot.|Lifting the heels to reach a deeper squat.
goblet_squat|Dumbbell Goblet Squat|squat|dumbbells|Hold one dumbbell upright against the chest and set a comfortable stance.|Sit down between the hips and stand while keeping the weight close.|Keep the load against the chest.|Holding the dumbbell far ahead of the body.
kettlebell_goblet_squat|Kettlebell Goblet Squat|squat|kettlebells|Hold one kettlebell by the horns against the chest.|Squat between the hips and stand with the bell close to the torso.|Keep forearms under the bell.|Resting the elbows on the knees to bounce upward.
dumbbell_front_squat|Double Dumbbell Front Squat|squat|dumbbells|Hold two dumbbells at shoulder height in a stable front-rack position.|Squat to a controlled depth and stand while keeping the elbows forward.|Keep the weights supported near the shoulders.|Letting the dumbbells pull the chest downward.
dumbbell_suitcase_squat|Dumbbell Suitcase Squat|squat|dumbbells|Hold a dumbbell beside each thigh and stand with room for them outside the knees.|Bend hips and knees, lower between the weights and stand.|Keep the dumbbells beside the body.|Hitting the knees with the weights.
box_squat|Barbell Box Squat|squat|squat_rack,olympic_barbell,plates,plyo_box|Set a stable box behind you inside a rack and hold a bar across the upper back.|Squat until seated lightly on the box, keep tension and stand.|Check box height before adding load.|Rocking backward on the box to gain momentum.
goblet_box_squat|Goblet Box Squat|squat|dumbbells,plyo_box|Hold one dumbbell at the chest with a stable box behind the legs.|Lower until the hips touch the box lightly, then stand.|Touch down softly.|Dropping the final distance onto the box.
smith_squat|Smith Machine Squat|squat|smith_machine|Set stops and position the feet so the fixed bar path feels balanced.|Unhook the bar, squat with heels planted and stand before reracking.|Test stance under the unloaded bar.|Forcing the feet into the same position as a free-bar squat.
hack_squat|Hack Squat Machine|squat|hack_squat_machine_selectorized|Adjust the machine and place shoulders under the pads with feet on the platform.|Release the stop, lower through a controlled depth and press back up.|Keep pelvis and back against the pad.|Letting the hips lift off the support at the bottom.
heel_elevated_goblet_squat|Heel-Elevated Goblet Squat|squat|dumbbells,plates|Hold one dumbbell at the chest and place heels on two equal low stable plates.|Squat while keeping heels supported, then stand through the whole foot.|Use only a small heel elevation.|Balancing on loose stacks of plates.
belt_squat|Belt Squat Machine|squat|belt_squat_machine,plates|Fit the machine belt around the hips and connect it as specified by the manufacturer.|Squat while the belt pulls at the hips, then stand without tugging on the handles.|Keep the belt below the waist.|Loading a loose or incorrectly attached belt.
pendulum_squat|Pendulum Squat Machine|squat|pendulum_squat_machine,plates|Set the stops and place the back and shoulders firmly against the support.|Lower with the machine arc and press back through the feet.|Stay against the back pad.|Letting the heels rise as the sled descends.
cable_pull_through|Cable Pull-Through|hinge|hi_lo_pull_cable|Face away from a low pulley holding a suitable rope between the legs.|Hinge the hips back, then stand by extending the hips as hands remain near the thighs.|Let the hips drive the movement.|Pulling the rope forward with the arms.
single_leg_press|Single-Leg Machine Leg Press|squat|leg_press_machine_selectorized|Set a light resistance and place one foot centrally on a machine designed for unilateral use.|Bend the working knee and press back without rotating the pelvis.|Keep both sides of the pelvis supported.|Starting with half of a heavy two-leg load without testing control.
split_squat|Bodyweight Split Squat|lunge||Stand in a long split stance with both feet staying in place.|Bend both knees to lower vertically, then push through the front foot to rise.|Keep the front heel planted.|Walking the feet along a narrow tightrope line.
dumbbell_split_squat|Dumbbell Split Squat|lunge|dumbbells|Stand in a split stance with a dumbbell beside each hip.|Lower the rear knee toward the floor and stand through the front leg.|Keep the weights beside the body.|Allowing the front knee to collapse inward.
rear_foot_elevated_split_squat|Rear-Foot-Elevated Split Squat|lunge|flat_bench,dumbbells|Place the rear foot on a low stable bench and hold dumbbells beside the hips.|Lower through the front hip and knee, then stand while the rear foot provides support.|Use a bench height that permits balance.|Pushing mostly through the rear leg.
reverse_lunge|Bodyweight Reverse Lunge|lunge||Stand upright with enough clear space behind you.|Step one foot backward, lower both knees and return through the front leg.|Keep the front foot planted.|Reaching so far back that balance is lost.
dumbbell_reverse_lunge|Dumbbell Reverse Lunge|lunge|dumbbells|Hold two dumbbells at the sides and begin standing tall.|Step backward into a lunge and drive through the stationary front foot to return.|Move the weights with the torso.|Swinging dumbbells during the step.
forward_lunge|Bodyweight Forward Lunge|lunge||Stand with feet near hip width and clear floor ahead.|Step forward, lower both knees and push back to the starting stance.|Land the whole front foot softly.|Taking a very short step and falling onto the toes.
lateral_lunge|Bodyweight Lateral Lunge|lunge||Stand tall with space to step sideways.|Step out, bend the stepping knee while the other leg stays long, then return.|Send the hips toward the stepping side.|Turning the movement into a forward lunge.
dumbbell_lateral_lunge|Dumbbell Lateral Lunge|lunge|dumbbells|Hold one dumbbell at the chest and stand with clear space at each side.|Step laterally, sit into that hip and push back to center.|Keep the load close.|Allowing the supporting foot to roll inward.
step_up|Dumbbell Step-Up|lunge|plyo_box,dumbbells|Stand facing a stable low box with dumbbells beside the hips.|Place the whole working foot on the box, step up and lower under control.|Use the elevated leg to lift the body.|Jumping from the trailing foot.
lateral_step_up|Lateral Step-Up|lunge|plyo_box|Stand beside a low stable box and place the nearer foot on it.|Drive through that foot to rise sideways, then lower slowly.|Keep the knee aligned over the foot.|Pushing off the floor leg to bypass the working leg.
single_leg_box_squat|Single-Leg Box Squat|squat|plyo_box|Stand on one leg in front of a high box, with the other foot held clear.|Sit back to touch the box, then stand on the same leg.|Begin with a high target.|Dropping onto a box too low for your current control.
dumbbell_romanian_deadlift|Dumbbell Romanian Deadlift|hinge|dumbbells|Stand holding two dumbbells in front of the thighs with knees softly bent.|Send hips backward as weights slide near the legs, then stand by extending the hips.|Keep the weights close.|Squatting down rather than hinging back.
single_leg_romanian_deadlift|Single-Leg Dumbbell Romanian Deadlift|hinge|dumbbells|Hold one dumbbell opposite the standing leg and soften that knee.|Hinge over the standing hip as the free leg reaches back, then return upright.|Keep both hip points facing down.|Opening the lifted hip toward the ceiling.
kickstand_romanian_deadlift|Kickstand Dumbbell Romanian Deadlift|hinge|dumbbells|Hold two dumbbells with one foot slightly behind and only its toes lightly supporting you.|Hinge over the front hip, then stand while keeping most pressure in the front foot.|Use the rear foot as a balance aid.|Sharing the load evenly despite the staggered setup.
trap_bar_deadlift|Trap-Bar Deadlift|hinge|trap_bar,plates|Stand centered inside a trap bar and grip the handles with knees and hips bent.|Push the floor away to stand, then bend hips and knees to set it down.|Keep the handles level.|Starting off-center inside the frame.
